Name,ISO,Genus,Family,Macroarea,Latitude,Longitude,Countries
Yaruro,yae,Yaruro,Yaruro,South America,7,-68,Venezuela
Yawa,yva,Yawa,Yawa,Papunesia,-1.75,136.25,Indonesia
Yawuru,ywr,Nyulnyulan,Nyulnyulan,Australia,-18,122.5,Australia
Yay,pcc,Kam-Tai,Tai-Kadai,Eurasia,22.42,104.75,Vietnam
Yazva,kpv,Permic,Uralic,Eurasia,65,55,Russia
Yemba,ybb,Bantoid,Niger-Congo,Africa,5.42,10.08,Cameroon
Yemsa,jnj,North Omotic,Afro-Asiatic,Africa,7.83,37.33,Ethiopia
Yessan-Mayo,yss,Tama Sepik,Sepik,Papunesia,-4.17,142.58,Papua New Guinea
Yeyi,yey,Bantoid,Niger-Congo,Africa,-20,23.5,Namibia
Yiddish (Bessarabian),ydd,Germanic,Indo-European,Eurasia,47,28.5,Moldova
Yiddish (Lithuanian),ydd,Germanic,Indo-European,Eurasia,55,25,Lithuania
Yiddish (Lodz),ydd,Germanic,Indo-European,Eurasia,51.75,19.42,Poland
Yidiny,yii,Northern Pama-Nyungan,Pama-Nyungan,Australia,-17,145.75,Australia
Yil,yll,Wapei-Palei,Torricelli,Papunesia,-3.53,142.15,Papua New Guinea
Yindjibarndi,yij,Western Pama-Nyungan,Pama-Nyungan,Australia,-21.75,117.92,Australia
Yingkarta,yia,Western Pama-Nyungan,Pama-Nyungan,Australia,-25.17,114.83,Australia
Yoruba,yor,Defoid,Niger-Congo,Africa,8,4.33,Nigeria
Yucatec,yua,Mayan,Mayan,North America,20,-89,Mexico
Yuchi,yuc,Yuchi,Yuchi,North America,35.75,-86.75,United States
Yucuna,ycn,Inland Northern Arawakan,Arawakan,South America,-0.75,-71,Colombia
Yukaghir (Kolyma),yux,Yukaghir,Yukaghir,Eurasia,65.75,150.83,Russia
Yukaghir (Tundra),ykg,Yukaghir,Yukaghir,Eurasia,69,155,Russia
Yuki,yuk,Yukian,Wappo-Yukian,North America,39.67,-123.5,United States
Yukpa,yup,Cariban,Cariban,South America,10.17,-72.75,Colombia
Yukulta,gcd,Tangkic,Tangkic,Australia,-17.33,138.83,Australia
Yulparija,mpj,Western Pama-Nyungan,Pama-Nyungan,Australia,-21,124,Australia
Yulu,yul,Bongo-Bagirmi,Central Sudanic,Africa,8.5,25.25,South Sudan
Yupik (Naukan),ynk,Eskimo,Eskimo-Aleut,Eurasia,66,-172,Russia
Yupik (Siberian),ess,Eskimo,Eskimo-Aleut,Eurasia,65,-173,Russia
Yupik (St. Lawrence Island),ess,Eskimo,Eskimo-Aleut,Eurasia,63.5,-170.5,United States
Yuracare,yuz,Yuracare,Yuracare,South America,-16.58,-65.25,Bolivia
Yurok,yur,Yurok,Algic,North America,41.33,-124,United States
Yuruti,yui,Tucanoan,Tucanoan,South America,1,-70.42,Colombia
Yuwaalaraay,kld,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-29.5,148,Australia
Zande,zne,Ubangi,Niger-Congo,Africa,4,26,Central African Republic
Zaparo,zro,Zaparoan,Zaparoan,South America,-2,-76.33,Ecuador
Zapotec (Isthmus),zai,Zapotecan,Oto-Manguean,North America,16.42,-95,Mexico
Zapotec (San Lucas Quiavin�),zab,Zapotecan,Oto-Manguean,North America,16.9,-96.47,Mexico
Zapotec (Zoogocho),zpq,Zapotecan,Oto-Manguean,North America,17.25,-96.25,Mexico
Zarma,dje,Songhay,Songhay,Africa,13.83,2.17,Niger
Zayse,zay,North Omotic,Afro-Asiatic,Africa,5.92,37.33,Ethiopia
Zazaki,diq,Iranian,Indo-European,Eurasia,39,41,Turkey
Zoque (Chimalapa),zoh,Mixe-Zoque,Mixe-Zoque,North America,16.75,-94.75,Mexico
Zoque (Copainal�),zoc,Mixe-Zoque,Mixe-Zoque,North America,17,-93.25,Mexico
Zoque (Ostuacan),zoc,Mixe-Zoque,Mixe-Zoque,North America,17.42,-93.3,Mexico
Zulu,zul,Bantoid,Niger-Congo,Africa,-30,30,South Africa
Zulu (Northern),zul,Bantoid,Niger-Congo,Africa,-28,31,South Africa
Zulu (Southern),zul,Bantoid,Niger-Congo,Africa,-31,30,South Africa
Zuni,zun,Zuni,Zuni,North America,35.08,-108.83,United States
