Name,WALS code,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
!Xóõ,xoo,nmn,Tu,Tu,Africa,-24,21.5,Botswana
!Xun (Ekoka),xun,knw,Ju-Kung,Kxa,Africa,-19.67,18,Angola
//Ani,ani,hnh,Khoe-Kwadi,Khoe-Kwadi,Africa,-18.92,21.92,Botswana
/Xam,xam,xam,Tu,Tu,Africa,-31,21,South Africa
=|Hoan,huc,huc,=|Hoan,Kxa,Africa,-25.5,25,Botswana
Aari,aar,aiw,South Omotic,Afro-Asiatic,Africa,6,36.58,Ethiopia
Abau,aba,aau,Upper Sepik,Sepik,Papunesia,-4,141.25,Papua New Guinea
Abaza,abz,abq,Northwest Caucasian,Northwest Caucasian,Eurasia,44,42,Russia
Abenaki (Western),abw,abe,Algonquian,Algic,North America,44,-72.25,Canada
Abidji,abd,abi,Kwa,Niger-Congo,Africa,5.67,-4.58,Côte d'Ivoire
Abipón,abi,axb,South Guaicuruan,Guaicuruan,South America,-29,-61,Argentina
Abkhaz,abk,abk,Northwest Caucasian,Northwest Caucasian,Eurasia,43.08,41,Georgia
Abui,abv,abz,Greater Alor,Timor-Alor-Pantar,Papunesia,-8.25,124.67,Indonesia
Abun,abu,kgr,North-Central Bird's Head,West Papuan,Papunesia,-0.5,132.5,Indonesia
Acehnese,ace,ace,Malayo-Sumbawan,Austronesian,Eurasia,5.5,95.5,Indonesia
Achagua,acg,aca,Inland Northern Arawakan,Arawakan,South America,4.42,-72.25,Colombia
Achang,acn,acn,Burmese-Lolo,Sino-Tibetan,Eurasia,25,98.5,China
Aché,ach,guq,Tupi-Guaraní,Tupian,South America,-25.25,-55.17,Paraguay
Achí,aci,acr,Mayan,Mayan,North America,15.17,-90.5,Guatemala
Acholi,acl,ach,Nilotic,Eastern Sudanic,Africa,3,32.67,Uganda
Achuar,acu,acu,Jivaroan,Jivaroan,South America,-2.67,-76,Peru
Achumawi,acm,acv,Palaihnihan,Hokan,North America,41.5,-121,United States
Acoma,aco,kjq,Keresan,Keresan,North America,34.92,-107.58,United States
Adamorobe Sign Language,ada,ads,Sign Languages,other,Africa,5.83,-0.17,Ghana
Adang,adg,adn,Greater Alor,Timor-Alor-Pantar,Papunesia,-8.2,124,Indonesia
Adioukrou,adi,adj,Kwa,Niger-Congo,Africa,5.42,-4.58,Côte d'Ivoire
Adyghe (Abzakh),ady,ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45.23,40.58,Russia
Adyghe (Shapsugh),ash,ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45,38.75,Russia
Adyghe (Temirgoy),adt,ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45.22,39.7,Russia
Adynyamathanha,adn,adt,Central Pama-Nyungan,Pama-Nyungan,Australia,-30.5,139.5,Australia
Adzera,adz,adz,Oceanic,Austronesian,Papunesia,-6.25,146.25,Papua New Guinea
Aekyom,awi,awi,Awin-Pare,Awin-Pare,Papunesia,-5.75,141.42,Papua New Guinea
Afrikaans,afr,afr,Germanic,Indo-European,Africa,-31,22,South Africa
Agarabi,aga,agd,Eastern Highlands,Trans-New Guinea,Papunesia,-6.17,146,Papua New Guinea
Aghem,agh,agq,Bantoid,Niger-Congo,Africa,6.67,10,Cameroon
Aghu,ahu,ahh,Awju-Dumut,Trans-New Guinea,Papunesia,-6.17,140.17,Indonesia
Aghul,agl,agx,Lezgic,Nakh-Daghestanian,Eurasia,41.75,47.67,Russia
Agta (Central),agc,agt,Greater Central Philippine,Austronesian,Papunesia,17.97,121.83,Philippines
Agta (Dupaningan),agd,duo,Greater Central Philippine,Austronesian,Papunesia,18,122.08,Philippines
Aguacatec,agu,agu,Mayan,Mayan,North America,15.42,-91.33,Guatemala
Aguaruna,agr,agr,Jivaroan,Jivaroan,South America,-5,-78,Peru
Ahtna,aht,aht,Athapaskan,Na-Dene,North America,62,-145,United States
Aikaná,aik,tba,Aikaná,Aikaná,South America,-12.67,-60.67,Brazil
Ainu,ain,ain,Ainu,Ainu,Eurasia,43,143,Japan
Aizi,aiz,ahp,Kru,Niger-Congo,Africa,5.25,-4.5,Côte d'Ivoire
Aja,aja,aja,Kresh,Central Sudanic,Africa,7.33,25.67,Central African Republic
Ajagbe,ajg,ajg,Kwa,Niger-Congo,Africa,7,1.75,Benin
Ajië,aji,aji,Oceanic,Austronesian,Papunesia,-21.33,165.5,New Caledonia
Aka,aka,axk,Bantoid,Niger-Congo,Africa,2.67,16.25,Central African Republic
Aka-Biada,akb,abj,Great Andamanese,Great Andamanese,Eurasia,11.67,92.5,India
Aka-Cari,akc,aci,Great Andamanese,Great Andamanese,Eurasia,13.5,93,India
Aka-Kede,akk,akx,Great Andamanese,Great Andamanese,Eurasia,12.75,92.75,India
Akan,akn,aka,Kwa,Niger-Congo,Africa,6.5,-1.25,Ghana
Akawaio,akw,ake,Cariban,Cariban,South America,6,-59.5,Guyana
Akha,akh,ahk,Burmese-Lolo,Sino-Tibetan,Eurasia,21.83,99.83,China
Akhvakh,axv,akv,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.33,46.33,Russia
Aklanon,akl,akl,Greater Central Philippine,Austronesian,Papunesia,11.58,122.33,Philippines
Akwa,awk,png,Kainji,Niger-Congo,Africa,10.08,6.33,Nigeria
Ala'ala,all,nrz,Oceanic,Austronesian,Papunesia,-8.92,146.75,Papua New Guinea
Alabama,abm,akz,Muskogean,Muskogean,North America,32.33,-87.42,United States
Alagwa,agw,wbj,Southern Cushitic,Afro-Asiatic,Africa,-5.5,35.75,Tanzania
Alamblak,ala,amp,Sepik Hill,Sepik,Papunesia,-4.67,143.33,Papua New Guinea
Alas,alx,btz,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,3.67,97.83,Indonesia
Alawa,alw,alh,Alawa,Mangarrayi-Maran,Australia,-15.17,134.25,Australia
Albanian,alb,"aln, als",Albanian,Indo-European,Eurasia,41,20,Serbia and Montenegro
Aleut,ale,ale,Aleut,Eskimo-Aleut,North America,54,-166,United States
Aleut (Eastern),aea,ale,Aleut,Eskimo-Aleut,North America,54.75,-164,United States
Algonquin,alg,alq,Algonquian,Algic,North America,46,-77,Canada
Alladian,ald,ald,Kwa,Niger-Congo,Africa,5.17,-4.33,Côte d'Ivoire
Alsatian,alt,gsw,Germanic,Indo-European,Eurasia,48.5,7.5,France
Alsea,als,aes,Alsea,Oregon Coast,North America,44.67,-123.92,United States
Altai (Southern),aso,alt,Turkic,Altaic,Eurasia,51,87,Russia
Alune,aln,alp,Central Malayo-Polynesian,Austronesian,Papunesia,-3,128.33,Indonesia
Alutiiq,atq,ems,Eskimo,Eskimo-Aleut,North America,57,-157,United States
Alutor,alu,alr,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,61,165,Russia
Alyawarra,aly,aly,Central Pama-Nyungan,Pama-Nyungan,Australia,-22.5,135,Australia
Ama,amm,amm,Left May,Left May,Papunesia,-4.22,141.62,Papua New Guinea
Amahuaca,amc,amc,Panoan,Panoan,South America,-10.5,-72.5,Brazil
Amanab,amn,amn,Border,Border,Papunesia,-3.58,141.25,Papua New Guinea
Amara,ama,aie,Oceanic,Austronesian,Papunesia,-5.67,148.5,Papua New Guinea
Amarakaeri,amk,amr,Harakmbet,Harakmbet,South America,-12.5,-70.5,Peru
Ambae (Lolovoli Northeast),aml,omb,Oceanic,Austronesian,Papunesia,-15.42,167.88,Vanuatu
Ambai,amq,amk,South Halmahera - West New Guinea,Austronesian,Papunesia,-1.83,136.5,Indonesia
Ambulas,amb,abt,Ndu,Sepik,Papunesia,-3.83,143,Papua New Guinea
Amdo,amd,adx,Bodic,Sino-Tibetan,Eurasia,35,100,China
Amdo (Themchen),amt,adx,Bodic,Sino-Tibetan,Eurasia,38,98,Nepal
Amele,ame,aey,Madang,Trans-New Guinea,Papunesia,-5.25,145.58,Papua New Guinea
American Sign Language,asl,ase,Sign Languages,other,North America,39,-78,Canada
Amharic,amh,amh,Semitic,Afro-Asiatic,Africa,10,38,Ethiopia
Amis,ami,ami,East Formosan,Austronesian,Papunesia,23.33,121.33,Taiwan
Amo,amo,amo,Kainji,Niger-Congo,Africa,10.33,8.67,Nigeria
Ampeeli,ape,apz,Angan,Trans-New Guinea,Papunesia,-6.75,146.08,Papua New Guinea
Amuesha,amu,ame,Yanesha',Arawakan,South America,-10.5,-75.42,Peru
Amuzgo,amz,amu,Amuzgoan,Oto-Manguean,North America,16.83,-98,Mexico
Anamuxra,amx,imi,Madang,Trans-New Guinea,Papunesia,-4.67,145,Papua New Guinea
Andi,anx,ani,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.75,46.25,Russia
Andoke,adk,ano,Andoke,Andoke,South America,-0.67,-72,Colombia
Anejom,anj,aty,Oceanic,Austronesian,Papunesia,-20.2,169.8,Vanuatu
Anêm,ane,anz,Anêm,Anêm,Papunesia,-5.58,149.08,Papua New Guinea
Angaataha,ant,agm,Angan,Trans-New Guinea,Papunesia,-7.22,146.25,Papua New Guinea
Angami,agm,"njm, nri",Kuki-Chin,Sino-Tibetan,Eurasia,25.67,94.5,India
Angas,anc,anc,West Chadic,Afro-Asiatic,Africa,9.5,9.5,Nigeria
Anggor,ang,agg,Senagi,Senagi,Papunesia,-3.75,141.17,Papua New Guinea
Angolar,ago,aoa,Creoles and Pidgins,other,Africa,0.25,6.5,São Tomé e Príncipe
Anguthimri,agt,lnj,Northern Pama-Nyungan,Pama-Nyungan,Australia,-12.33,141.83,Australia
Anindilyakwa,ann,aoi,Anindilyakwa,Gunwinyguan,Australia,-14,136.5,Australia
Anong,ano,nun,Nungish,Sino-Tibetan,Eurasia,27.33,98.75,China
Anufo,anu,cko,Kwa,Niger-Congo,Africa,10.08,0.25,Togo
Anyi,ayi,any,Kwa,Niger-Congo,Africa,7,-3.5,Côte d'Ivoire
Anywa,any,anu,Nilotic,Eastern Sudanic,Africa,8,33.5,Ethiopia
Ao,ao,njo,Kuki-Chin,Sino-Tibetan,Eurasia,26.58,94.67,India
Apache (Chiricahua),apc,apm,Athapaskan,Na-Dene,North America,33.25,-108,United States
Apache (Jicarilla),apj,apj,Athapaskan,Na-Dene,North America,36.58,-104,United States
Apache (Western),apw,apw,Athapaskan,Na-Dene,North America,33.75,-110,United States
Apalaí,apl,apy,Cariban,Cariban,South America,0,-54,Brazil
Apatani,apt,apt,Tani,Sino-Tibetan,Eurasia,27.5,93.75,India
Apinayé,api,apn,Ge-Kaingang,Macro-Ge,South America,-5.5,-48,Brazil
A-Pucikwar,apk,apq,Great Andamanese,Great Andamanese,Eurasia,12.17,92.83,India
Apurinã,apu,apu,Purus,Arawakan,South America,-9,-67,Brazil
Arabana,abn,ard,Central Pama-Nyungan,Pama-Nyungan,Australia,-28.25,136.25,Australia
Arabela,arb,arl,Zaparoan,Zaparoan,South America,-2,-75.17,Peru
Arabic (Bahrain),abh,abv,Semitic,Afro-Asiatic,Eurasia,26,50.5,Bahrain
Arabic (Bani-Hassan),ahs,mey,Semitic,Afro-Asiatic,Africa,20,-10,Mauritania
Arabic (Beirut),abe,apc,Semitic,Afro-Asiatic,Eurasia,33.92,35.5,Lebanon
Arabic (Borno Nigerian),arn,shu,Semitic,Afro-Asiatic,Africa,8.58,12.42,Nigeria
Arabic (Chadian),abb,shu,Semitic,Afro-Asiatic,Africa,13.83,20.83,Chad
Arabic (Eastern Libyan),ael,ayl,Semitic,Afro-Asiatic,Africa,32,22,Libya
Arabic (Egyptian),aeg,arz,Semitic,Afro-Asiatic,Africa,30,31,Egypt
Arabic (Gulf),arg,afb,Semitic,Afro-Asiatic,Eurasia,26,49,Kuwait
Arabic (Hijazi),arh,acw,Semitic,Afro-Asiatic,Eurasia,26,38,Saudi Arabia
Arabic (Iraqi),arq,acm,Semitic,Afro-Asiatic,Eurasia,33,44,Iraq
Arabic (Kormakiti),ako,acy,Semitic,Afro-Asiatic,Eurasia,35.25,33.5,Cyprus
Arabic (Kuwaiti),arj,afb,Semitic,Afro-Asiatic,Eurasia,29.5,47.5,Kuwait
Arabic (Lebanese),arl,apc,Semitic,Afro-Asiatic,Eurasia,34,36,Lebanon
Arabic (Modern Standard),ams,arb,Semitic,Afro-Asiatic,Eurasia,25,42,Kuwait
Arabic (Moroccan),amr,ary,Semitic,Afro-Asiatic,Africa,34,-6,Morocco
Arabic (Negev),arv,ajp,Semitic,Afro-Asiatic,Eurasia,30.5,34.75,Israel
Arabic (North Levantine Spoken),anl,apc,Semitic,Afro-Asiatic,Eurasia,33.75,36,Lebanon
Arabic (Palestinian),apa,ajp,Semitic,Afro-Asiatic,Eurasia,32,35.25,Palestinian West Bank and Gaza
Arabic (San'ani),ars,ayn,Semitic,Afro-Asiatic,Eurasia,16,44,Yemen
Arabic (Syrian),asy,apc,Semitic,Afro-Asiatic,Eurasia,34,38,Syria
Arabic (Tunisian),atu,aeb,Semitic,Afro-Asiatic,Africa,36.75,10.25,Tunisia
Arakanese (Marma),akm,rmz,Burmese-Lolo,Sino-Tibetan,Eurasia,21.5,92.5,Bangladesh
Araki,ark,akr,Oceanic,Austronesian,Papunesia,-15.67,166.92,Vanuatu
Aralle-Tabulahan,atb,atq,South Sulawesi,Austronesian,Papunesia,-2.75,119.25,Indonesia
Arandai,ard,jbj,South Bird's Head Proper,South Bird's Head,Papunesia,-2.08,133,Indonesia
Araona,ana,aro,Tacanan,Tacanan,South America,-12.33,-67.75,Bolivia
Arapaho,aho,arp,Algonquian,Algic,North America,40,-103,United States
Arapesh (Abu),aab,aah,Kombio-Arapesh,Torricelli,,-3.45,142.95,Papua New Guinea
Arapesh (Mountain),arp,ape,Kombio-Arapesh,Torricelli,Papunesia,-3.47,143.17,Papua New Guinea
Arawak,ara,arw,Caribbean Arawakan,Arawakan,South America,5.5,-55.17,Suriname
Arbore,abo,arv,Lowland East Cushitic,Afro-Asiatic,Africa,5,36.75,Ethiopia
Archi,arc,aqc,Lezgic,Nakh-Daghestanian,Eurasia,42,46.83,Russia
'Are'are,arx,alu,Oceanic,Austronesian,Papunesia,-9.25,161.17,Solomon Islands
Aribwatsa,ari,laz,Oceanic,Austronesian,Papunesia,-6.72,147,Papua New Guinea
Arikara,akr,ari,Caddoan,Caddoan,North America,45.5,-100.5,United States
Armenian (Eastern),arm,hye,Armenian,Indo-European,Eurasia,40,45,Armenia
Armenian (Iranian),arz,hye,Armenian,Indo-European,Eurasia,32.67,51.67,Iran
Armenian (Western),arw,hye,Armenian,Indo-European,Eurasia,38.5,43.5,Turkey
Arop-Lokep,alk,apr,Oceanic,Austronesian,Papunesia,-5.38,147.05,Papua New Guinea
Arosi,aro,aia,Oceanic,Austronesian,Papunesia,-10.25,161.33,Solomon Islands
Arrernte,arr,"aer, are",Central Pama-Nyungan,Pama-Nyungan,Australia,-24,134,Australia
Arrernte (Mparntwe),amp,aer,Central Pama-Nyungan,Pama-Nyungan,Australia,-24,136,Australia
Arrernte (Western),awe,are,Central Pama-Nyungan,Pama-Nyungan,Australia,-24,132.5,Australia
Asmat,asm,tml,Asmat-Kamoro,Trans-New Guinea,Papunesia,-5.5,138.5,Indonesia
Assamese,ass,asm,Indic,Indo-European,Eurasia,26,93,India
Asturian,ast,ast,Romance,Indo-European,Eurasia,43.25,-6,Spain
Asuriní,asu,asu,Tupi-Guaraní,Tupian,South America,-3.5,-49.5,Brazil
Atacameño,atm,kuz,Kunza,Kunza,South America,-23,-69,Chile
Atakapa,atk,aqp,Atakapa,Atakapa,North America,30,-93.5,United States
Atayal,ata,tay,Atayalic,Austronesian,Papunesia,24.5,121.33,Taiwan
Atchin,atc,upv,Oceanic,Austronesian,Papunesia,-16,167.33,Vanuatu
Athpare,ath,aph,Mahakiranti,Sino-Tibetan,Eurasia,27,87.33,Nepal
Atikamekw,ati,atj,Algonquian,Algic,North America,48,-74,Canada
Atsugewi,ats,atw,Palaihnihan,Hokan,North America,40.75,-121,United States
Au,au,avt,Wapei-Palei,Torricelli,Papunesia,-3.58,142.08,Papua New Guinea
Aulua,aul,aul,Oceanic,Austronesian,Papunesia,-16.33,167.67,Vanuatu
Auslan,aus,asf,Sign Languages,other,Australia,-30,145,Australia
Auyana,auy,auy,Eastern Highlands,Trans-New Guinea,Papunesia,-6.5,145.75,Papua New Guinea
Avar,ava,ava,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.5,46.5,Azerbaijan
Avatime,avt,avn,Kwa,Niger-Congo,Africa,6.83,0.42,Ghana
Avikam,avk,avi,Kwa,Niger-Congo,Africa,5.17,-5.5,Côte d'Ivoire
Avokaya,avo,avu,Moru-Ma'di,Central Sudanic,Africa,4.67,30,Democratic Republic of Congo
Awa,awa,awb,Eastern Highlands,Trans-New Guinea,Papunesia,-6.67,145.75,Papua New Guinea
Awa Pit,awp,kwi,Barbacoan,Barbacoan,South America,1.5,-78.25,Ecuador
Awadhi,awd,awa,Indic,Indo-European,Eurasia,27.5,81.5,India
Awngi,awn,awn,Central Cushitic,Afro-Asiatic,Africa,10.83,36.67,Ethiopia
Awtuw,awt,kmn,Ram,Sepik,Papunesia,-3.58,142,Papua New Guinea
Awyi,awy,auw,Border,Border,Papunesia,-2.92,140.58,Indonesia
Ayiwo,ayw,nfl,Oceanic,Austronesian,Papunesia,-10.33,166.25,Solomon Islands
Aymara (Central),aym,ayc,Aymaran,Aymaran,South America,-17,-69,Chile
Aynu,ayn,aib,Turkic,Altaic,Eurasia,39.5,76,China
Ayoreo,ayr,ayo,Zamucoan,Zamucoan,South America,-20.25,-59.25,Paraguay
Azari (Iranian),azi,azb,Turkic,Altaic,Eurasia,37.5,47,Iran
Azerbaijani,aze,"azb, azj",Turkic,Altaic,Eurasia,40.5,48.5,Azerbaijan
Baale,blj,koe,Surmic,Eastern Sudanic,Africa,6.5,34.5,South Sudan
Babole,bbl,bvx,Bantoid,Niger-Congo,Africa,1.08,17.25,Congo
Babungo,bab,bav,Bantoid,Niger-Congo,Africa,6.12,10.42,Cameroon
Bachamal,bac,wdj,Anson Bay,Anson Bay,Australia,-13.17,130.17,Australia
Badaga,bdg,bfq,Southern Dravidian,Dravidian,Eurasia,11.67,76.75,India
Bade,bad,bde,West Chadic,Afro-Asiatic,Africa,12.83,10.5,Nigeria
Badimaya,bdm,bia,Western Pama-Nyungan,Pama-Nyungan,Australia,-27.67,118,Australia
Bafia,bfi,ksf,Bantoid,Niger-Congo,Africa,5,11.17,Cameroon
Bafut,baf,bfd,Bantoid,Niger-Congo,Africa,6.25,9.92,Cameroon
Baga Sitemu,bgs,bsp,Mel,Niger-Congo,Africa,10.5,-14.5,Guinea
Bagirmi,bag,bmi,Bongo-Bagirmi,Central Sudanic,Africa,11.67,16,Chad
Bagiro,bgr,fuu,Bongo-Bagirmi,Central Sudanic,Africa,4.33,20.58,Central African Republic
Bagri,bgi,bgq,Indic,Indo-European,Eurasia,29.58,74.33,India
Bagvalal,bgv,kva,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.58,46.17,Russia
Baham,bdw,bdw,West Bomberai,West Bomberai,Papunesia,-3.17,132.67,Indonesia
Bahinemo,bhn,bjh,Sepik Hill,Sepik,Papunesia,-4.58,142.83,Papua New Guinea
Bahnar,bpb,bdq,Bahnaric,Austro-Asiatic,Eurasia,13.83,108.33,Vietnam
Bai,bai,bca,Bai,Sino-Tibetan,Eurasia,26,100,China
Bajau (Sama),baj,bdl,Sama-Bajaw,Austronesian,Papunesia,-4.33,123,Indonesia
Bajau (West Coast),bwc,bdr,Sama-Bajaw,Austronesian,Papunesia,6.33,116.33,Malaysia
Baka (in Cameroon),bak,bkc,Ubangi,Niger-Congo,Africa,2.58,13.58,Cameroon
Baka (in South Sudan),bka,bdh,Bongo-Bagirmi,Central Sudanic,Africa,4.83,29.25,South Sudan
Bakairí,bki,bkq,Cariban,Cariban,South America,-14,-55,Brazil
Bakueri,bku,bri,Bantoid,Niger-Congo,Africa,4.25,9.25,Cameroon
Bakundu,bkn,bdu,Bantoid,Niger-Congo,Africa,4.83,9.33,Cameroon
Balangao,blg,blw,Northern Luzon,Austronesian,Papunesia,17.17,121.17,Philippines
Balanta,blz,"bjt, ble",Bak,Niger-Congo,Africa,12.25,-15.33,Guinea-Bissau
Balantak,blk,blz,Celebic,Austronesian,Papunesia,-0.83,123.25,Indonesia
Balinese,bal,ban,Malayo-Sumbawan,Austronesian,Papunesia,-8.33,115.25,Indonesia
Bali-Vitu,bvi,"bbn, wiv",Oceanic,Austronesian,Papunesia,-4.9,149.12,Papua New Guinea
Balti,blt,bft,Bodic,Sino-Tibetan,Eurasia,35,76,Pakistan
Baluchi,blc,bgp,Iranian,Indo-European,Eurasia,28,62,Pakistan
Balyku,bly,nad,Western Pama-Nyungan,Pama-Nyungan,Australia,-22,120,Australia
Bambam,bbm,ptu,South Sulawesi,Austronesian,Papunesia,-3.08,119.08,Indonesia
Bambara,bam,bam,Western Mande,Mande,Africa,12.5,-7.5,Mali
Bamun,bmn,bax,Bantoid,Niger-Congo,Africa,5.5,10.92,Cameroon
Bana,ban,bcw,Biu-Mandara,Afro-Asiatic,Africa,10.42,13.58,Cameroon
Banawá,bna,jaa,Arauan,Arauan,South America,-7,-65,Brazil
Bandi,bnd,bza,Western Mande,Mande,Africa,8.08,-10.25,Liberia
Bandjalang,bnj,bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-28.75,153,Australia
Bandjalang (Casino),bca,bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-28.92,153,Australia
Bandjalang (Waalubal),bwa,bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-29.08,152.58,Australia
Bandjalang (Yugumbir),byu,bdy,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-27.92,153,Australia
Banggai,bgg,bgz,Celebic,Austronesian,Papunesia,-1.42,123.17,Indonesia
Banggarla,bnl,bjb,Central Pama-Nyungan,Pama-Nyungan,Australia,-32,137,Australia
Banggi,bgz,bdg,North Borneo,Austronesian,Papunesia,7.25,117.17,Malaysia
Bangime,bgm,dba,Bangime,Bangime,Africa,14.92,-3.83,Mali
Baniva,bnv,bvv,Alto-Orinoco,Arawakan,South America,5.26,-67.56,
Baniwa,bnw,bwi,Inland Northern Maipuran,Arawakan,South America,2.67,-66.83,Brazil
Bankon,bnk,abb,Bantoid,Niger-Congo,Africa,4.42,9.58,Cameroon
Banoni,bnn,bcm,Oceanic,Austronesian,Papunesia,-6.42,155.25,Papua New Guinea
Bantik,bnt,bnq,Sangiric,Austronesian,Papunesia,1.42,124.75,Indonesia
Bao'an,bao,peh,Mongolic,Altaic,Eurasia,35.75,102.83,China
Baragaunle,brl,loy,Bodic,Sino-Tibetan,Eurasia,28.83,83.83,Nepal
Barai,baa,"bbb, nvm",Koiarian,Trans-New Guinea,Papunesia,-9.33,148.08,Papua New Guinea
Barambu,bbu,brm,Ubangi,Niger-Congo,Africa,3.5,27,Democratic Republic of Congo
Barasano,brs,bsn,Tucanoan,Tucanoan,South America,-0.17,-70.67,Colombia
Bardi,brd,bcj,Nyulnyulan,Nyulnyulan,Australia,-16.58,122.92,Australia
Baré,bae,bae,Inland Northern Arawakan,Arawakan,South America,1,-67,Brazil
Bargam,mug,mlp,Madang,Trans-New Guinea,Papunesia,-4.88,145.75,Papua New Guinea
Bari,bar,bfa,Nilotic,Eastern Sudanic,Africa,5,31.67,South Sudan
Barí,mti,mot,Motilon,Chibchan,South America,9,-73,Colombia
Bariba,brb,bba,Southern-Central Gur,Niger-Congo,Africa,10,2.5,Nigeria
Barupu,brp,wra,Warapu,Skou,Papunesia,-3.08,142.08,Papua New Guinea
Baruya,bry,byr,Angan,Trans-New Guinea,Papunesia,-6.92,145.92,Papua New Guinea
Basaá,bas,bas,Bantoid,Niger-Congo,Africa,3.92,10.5,Cameroon
Basari,bsr,bsc,Tenda,Niger-Congo,Africa,12.67,-13,Senegal
Bashkir,bsk,bak,Turkic,Altaic,Eurasia,53,58,Russia
Basque,bsq,eus,Basque,Basque,Eurasia,43,-3,France
Basque (Basaburua and Imoz),bqi,eus,Basque,Basque,Eurasia,43,-1.67,Spain
Basque (Bidasoa Valley),bqb,eus,Basque,Basque,Eurasia,43,-3.83,Spain
Basque (Gernica),bqg,eus,Basque,Basque,Eurasia,43.33,-3,Spain
Basque (Hondarribia),bqh,eus,Basque,Basque,Eurasia,42.5,-3,Spain
Basque (Lekeitio),bql,eus,Basque,Basque,Eurasia,43,-2.5,Spain
Basque (Northern High Navarrese),bqn,eus,Basque,Basque,Eurasia,43.33,-2.5,Spain
Basque (Oñati),bqo,eus,Basque,Basque,Eurasia,42.5,-3.5,Spain
Basque (Roncalese),bqr,eus,Basque,Basque,Eurasia,43,-2,Spain
Basque (Sakana),bqs,eus,Basque,Basque,Eurasia,42.5,-2,Spain
Basque (Souletin),bso,eus,Basque,Basque,Eurasia,43.5,-1.5,France
Basque (Zeberio),bqz,eus,Basque,Basque,Eurasia,42,-3,Spain
Batak,bat,bya,Greater Central Philippine,Austronesian,Papunesia,10.25,119.08,Philippines
Batak (Karo),bkr,btx,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,3.25,98.25,Indonesia
Batak (Toba),bto,bbc,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,2.5,99,Indonesia
Bathari,bth,bhm,Semitic,Afro-Asiatic,Eurasia,18,56,Oman
Bau,bau,bbd,Madang,Trans-New Guinea,Papunesia,-5.25,145.62,Papua New Guinea
Baule,ble,bci,Kwa,Niger-Congo,Africa,7,-5,Côte d'Ivoire
Baure,baq,brg,Bolivia-Parana,Arawakan,South America,-13.08,-64.17,Bolivia
Bauzi,bzi,bvz,East Geelvink Bay,East Geelvink Bay,Papunesia,-2.5,137.5,Indonesia
Bawm,baw,bgr,Kuki-Chin,Sino-Tibetan,Eurasia,22.5,92.25,Bangladesh
Bayso,bys,bsw,Lowland East Cushitic,Afro-Asiatic,Africa,6.25,37.75,Ethiopia
Bayungu,bxj,bxj,Western Pama-Nyungan,Pama-Nyungan,Australia,-23,114,Australia
Beembe,bee,beq,Bantoid,Niger-Congo,Africa,-3.92,14.08,Congo
Begak-Ida'an,beg,dbj,North Borneo,Austronesian,Papunesia,5.25,118.83,Malaysia
Beja,bej,bej,Beja,Afro-Asiatic,Africa,18,36,Eritrea
Belhare,bel,byw,Mahakiranti,Sino-Tibetan,Eurasia,26.97,87.3,Nepal
Bella Coola,bco,blc,Bella Coola,Salishan,North America,52.5,-126.67,Canada
Belorussian,blr,bel,Slavic,Indo-European,Eurasia,54,28,Belarus
Bemba,bem,bem,Bantoid,Niger-Congo,Africa,-10,28.25,Democratic Republic of Congo
Benabena,beb,bef,Eastern Highlands,Trans-New Guinea,Papunesia,-6.17,145.5,Papua New Guinea
Bena-Lulua,blu,lua,Bantoid,Niger-Congo,Africa,-6,21,Democratic Republic of Congo
Beng,bnq,nhb,Eastern Mande,Mande,Africa,7.83,-4.25,Côte d'Ivoire
Benga,bga,bng,Bantoid,Niger-Congo,Africa,1.17,9.42,Equatorial Guinea
Bengali,ben,ben,Indic,Indo-European,Eurasia,24,90,Bangladesh
Bengali (Chittagong),bec,ctg,Indic,Indo-European,Eurasia,22.33,91.83,Bangladesh
Beothuk,beo,bue,Beothuk,Beothuk,North America,48,-57,Canada
Bera,brq,brf,Bantoid,Niger-Congo,Africa,1.5,30.03,
Berber (Ayt Seghrouchen Middle Atlas),bse,tzm,Berber,Afro-Asiatic,Africa,33.33,-4.67,Morocco
Berber (Chaouia),bch,shy,Berber,Afro-Asiatic,Africa,35,7,Algeria
Berber (Middle Atlas),bma,tzm,Berber,Afro-Asiatic,Africa,33,-5,Morocco
Berber (Mzab),bmz,mzb,Berber,Afro-Asiatic,Africa,32.5,3.5,Algeria
